fname,lname,DOB,age,instaID,instaURL,email,contactNo,password,Followers,likes,views,engagementRate,city,state,accepted
Cristiano,Ronaldo,13-6-01,21,cristiano,https://www.instagram.com/cristiano/,dominique_kessler@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"400,000,000.00","3,900,000.00","4,750,000.00",1.95,Mumbai,Maharashta,0
Virat,Kohli,11-2-01,22,virat.kohli,https://www.instagram.com/virat.kohli/,breana.romaguera84@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"183,000,000.00","1,050,000.00","1,200,000.00",1.15,Mumbai,Maharashta,0
Justin,Bieber,7-8-99,23,justinbieber,https://www.instagram.com/justinbieber/,gideon77@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"220,000,000.00","600,000.00","900,000.00",0.55,Mumbai,Maharashta,0
Dwayne,Johnson,11-2-01,22,therock,https://www.instagram.com/therock/,henri_wyman@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"296,000,000.00","370,500.00","497,400.00",0.25,Mumbai,Maharashta,0
Zayn,Malik,11-2-01,22,zayn,https://www.instagram.com/zayn/,jaquelin_ullrich@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"44,500,000.00","1,900,000.00","3,000,000.00",8.54,Mumbai,Maharashta,0
Katrina,Kaif,2-4-97,25,katrinakaif,https://www.instagram.com/katrinakaif/,abbie71@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"61,600,000.00","1,650,000.00","1,900,000.00",5.36,Pune,Maharashta,0
Anushka,Sharm,13-6-01,21,anushkasharma,https://www.instagram.com/anushkasharma/,emilio_schulist@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"56,900,000.00","1,100,000.00","1,200,000.00",3.87,Pune,Maharashta,0
Narendra,Modi,11-2-01,22,narendramodi,https://www.instagram.com/narendramodi/,jermain46@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"65,300,000.00","900,000.00","1,000,000.00",2.76,Pune,Maharashta,0
Georgina,Rodríguez,7-8-99,23,georginagio,https://www.instagram.com/georginagio/,keshaun_leffler@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"33,400,000.00","1,100,000.00","1,600,000.00",6.59,Pune,Maharashta,1
Akshay,Kumar,11-2-01,22,akshaykumar,https://www.instagram.com/akshaykumar/,fredy_bergstrom93@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"59,500,000.00","700,000.00","800,000.00",2.35,Pune,Maharashta,1
Chris,Hemsworth,11-2-01,22,chrishemsworth,https://www.instagram.com/chrishemsworth/,ryann.smith59@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"53,500,000.00","600,000.00","750,000.00",2.24,Nagpur,Maharashta,1
Olivia,Rodrigo,2-4-97,25,oliviarodrigo,https://www.instagram.com/oliviarodrigo/,fiona86@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"21,600,000.00","1,450,000.00","1,800,000.00",13.43,Nagpur,Maharashta,1
Rashmika,Mandanna,13-6-01,21,rashmika_mandanna,https://www.instagram.com/rashmika_mandanna/,rigoberto.hagenes69@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"28,600,000.00","1,150,000.00","1,350,000.00",8.04,Nagpur,Maharashta,1
Priyanka,Chopra,11-2-01,22,priyankachopra,https://www.instagram.com/priyankachopra/,elaina.crona43@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"74,000,000.00","408,850.00","498,500.00",1.11,Nagpur,Maharashta,1
Shraddha,Kapoor,7-8-99,23,shraddhakapoor,https://www.instagram.com/shraddhakapoor/,lessie19@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"68,900,000.00","398,650.00","460,750.00",1.16,Nagpur,Maharashta,1
David,Beckham,11-2-01,22,davidbeckham,https://www.instagram.com/davidbeckham/,evelyn.morissette39@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"71,100,000.00","326,600.00","433,150.00",0.92,Nagpur,Maharashta,1
Alia,Bhat,11-2-01,22,aliaabhatt,https://www.instagram.com/aliaabhatt/,thomas_hartmann@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"58,900,000.00","390,900.00","485,450.00",1.33,Nagpur,Maharashta,1
Shahrukh,Khan,2-4-97,25,iamsrk,https://www.instagram.com/iamsrk/,itzel.cruickshank14@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"28,000,000.00","800,000.00","1,000,000.00",5.71,Nagpur,Maharashta,1
Salman,Khan,13-6-01,21,beingsalmankhan,https://www.instagram.com/beingsalmankhan/,helen68@gmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"49,500,000.00","409,150.00","500,000.00",1.65,Banglore,Karnataka,1
Nora,Fatehi,11-2-01,22,norafatehi,https://www.instagram.com/norafatehi/,zoe90@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"37,800,000.00","458,750.00","550,000.00",2.43,Banglore,Karnataka,1
Neha,Kakkar,7-8-99,23,nehakakkar,https://www.instagram.com/nehakakkar/,cielo.jaskolski@yahoo.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"67,600,000.00","255,750.00","297,950.00",0.76,Banglore,Karnataka,1
Shakira,Shakira,11-2-01,22,shakira,https://www.instagram.com/shakira/,melvin.roob34@hotmail.com,9960930245,$2a$12$jmId.AHqWyaLcNq.CuCDqe232wMdDMoD8TIS5tF5bk3DdwfRerTea,"71,600,000.00","183,750.00","250,350.00",0.51,Banglore,Karnataka,1
